seller_id,seller_state,total_orders,late_rate,avg_delay_days,avg_review_score,total_revenue_at_risk,canceled_orders,reliability_score,reliability_tier
b33e7c55446eabf8fe1a42d037ac7d6d,SP,149,11.84,-11.34,4.19,6379.76,0,116.76,Reliable
7aa4334be125fcdd2ba64b3180029f14,SP,214,11.81,-9.56,4.06,2953.04,0,113.22,Reliable
e3a386fc36e22064434e1fa256f6a9fa,SP,16,11.76,-10.88,4.24,150.07,0,115.88,Reliable
3935fe5fe0f82787a9dcb8deb62be09d,SP,16,11.76,-10.65,3.94,194.0,0,115.42,Reliable
afa6714acee029b2dfdf357e5579cc03,SP,16,11.76,-13.82,4.06,234.51,0,121.76,Reliable
04aa0a1c5ce6b222003403a3e11c3cc0,SP,11,11.76,-16.53,3.53,770.76,0,127.18,Reliable
b5e3e38609125694d2ea2417522a60b7,SC,16,11.76,-7.82,4.35,91.35,0,109.76,Reliable
392e0502231ae2f8b29994ef6398cd77,SP,17,11.76,-7.94,4.35,196.45,0,110.0,Reliable
218f991754f360af9c2daa5e0b8e990c,SP,14,11.76,-7.41,3.53,434.23,0,108.94,Reliable
b33aaadd1a8891d2dfef0c4c3bdf0371,SP,16,11.76,-9.29,3.76,245.55,0,112.7,Reliable
768a86e36ad6aae3d03ee3c6433d61df,SP,17,11.76,-8.82,4.65,89.87,0,111.76,Reliable
a6fe7de3d16f6149ffe280349a8535a0,SP,50,11.76,-9.53,3.98,424.84,0,113.18,Reliable
53d00c40e32aeb924a84ce72b1af869d,SP,17,11.76,-7.47,4.35,373.83,0,109.06,Reliable
ad97a199236354e53fcd91a5a913e9a2,SC,16,11.76,-10.41,4.47,1054.33,0,114.94,Reliable
610f72e407cdd7caaa2f8167b0163fd8,SP,16,11.76,-9.94,3.71,2896.47,0,114.0,Reliable
34056b8b55c1775a22af2331670a799c,SP,77,11.69,-10.92,4.04,960.35,0,116.0,Reliable
0b35c634521043bf4b47e21547b99ab5,PR,50,11.69,-14.84,3.48,4438.38,0,123.84,Reliable
2e90cb1677d35cfe24eef47d441b7c87,SP,127,11.68,-10.75,4.04,1963.94,0,115.66,Reliable
2eb70248d66e0e3ef83659f71b244378,SP,187,11.68,-10.12,2.77,9870.91,0,114.4,Reliable
7ad32824caee82087b3e2e5f33b1bf32,SP,147,11.67,-10.56,3.72,4447.89,0,115.29,Reliable
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,81,11.63,-9.76,2.9,1360.08,0,113.7,Reliable
b2479f944e1b90cf8a5de1bbfde284d6,SP,101,11.63,-8.58,3.3,991.75,0,111.34,Reliable
c31eff8334d6b3047ed34bebd4d62c36,SP,120,11.57,-10.19,3.84,1556.37,0,114.59,Reliable
b1fc4f64df5a0e8b6913ab38803c57a9,RJ,107,11.57,-9.78,3.72,1221.11,0,113.78,Reliable
77a515caa36327151d1cc6c32a9f00e1,SP,26,11.54,-10.73,4.42,272.41,0,115.69,Reliable
318f287a62ab7ac10b703ac37435a231,SP,51,11.48,-9.48,3.92,1146.69,0,113.22,Reliable
0ffa40d54288e4f3499b8780dd0f144f,SP,33,11.43,-12.2,4.4,311.32,0,118.69,Reliable
59b22a78efb79a4797979612b885db36,MG,125,11.28,-10.3,3.94,5224.01,0,114.96,Reliable
dd7ddc04e1b6c2c614352b383efe2d36,SP,121,11.27,-8.08,3.75,2072.69,0,110.52,Reliable
7d13fca15225358621be4086e1eb0964,SP,558,11.21,-11.0,4.0,15295.37,0,116.39,Reliable
897060da8b9a21f655304d50fd935913,SP,304,11.14,-9.67,3.44,4571.73,0,113.77,Reliable
0725b8c0f3f906e58f70cbe76b7c748c,SP,16,11.11,-15.58,3.78,626.77,0,125.6,Reliable
7586919161935337bf6b6d7ff5779648,RJ,11,11.11,-6.89,3.17,705.51,0,108.22,Reliable
863d2ebcd347ce4922de7a0f9a5581d6,RJ,17,11.11,-10.61,4.11,143.27,0,115.66,Reliable
e81e1f9c3e762e620f3fb60a51499e16,SC,17,11.11,-13.67,3.61,1096.84,0,121.78,Reliable
8b2492b7ff4468839593fafeed55bad9,RJ,29,11.11,-6.42,3.89,1029.38,0,107.28,Reliable
b499c00f28f4b7069ff6550af8c1348a,SP,147,10.99,-12.14,4.23,1603.36,0,118.78,Reliable
f3da5b2ff499efb8d4a6d371d175d7dd,SP,77,10.98,-8.2,3.85,627.66,0,110.91,Reliable
406822777a0b9eb5c50e442dd4cd3ec5,SP,44,10.87,-10.61,4.26,438.72,0,115.78,Reliable
23c38debaffe4a25a30fdbd9b586a13f,SP,41,10.87,-10.39,4.3,679.13,0,115.34,Reliable
1caf283236cd69af44cbc09a0a1e7d32,RJ,33,10.81,-11.41,4.54,237.73,0,117.41,Reliable
a416b6a846a11724393025641d4edd5e,SP,157,10.8,-10.55,4.22,3676.75,0,115.7,Reliable
8444e55c1f13cd5c179851e5ca5ebd00,MG,92,10.78,-21.27,3.16,6316.67,0,137.15,Reliable
056b4ada5bbc2c50cc7842547dda6b51,RJ,64,10.77,-12.46,4.09,2161.75,0,119.53,Reliable
6fd52c528dcb38be2eea044946b811f8,SP,67,10.71,-11.23,3.42,1065.02,0,117.1,Reliable
c0563dd588b775f2e37747ef6ad6c92c,SP,28,10.71,-9.11,4.36,404.76,0,112.86,Reliable
f12ff17ad8bbf01ec5c33b17e506649b,SP,28,10.71,-10.43,3.86,492.99,0,115.5,Reliable
4c498c7345e89aebad651544829beca0,SP,47,10.64,-9.19,4.28,572.13,0,113.06,Reliable
a673821011d0cec28146ea42f5ab767f,SP,125,10.64,-9.42,3.74,1940.64,0,113.52,Reliable
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,10.54,-11.16,4.11,28039.86,0,117.05,Reliable
54c04bdb5ec46762f8f08c7e8f86ed4a,SC,18,10.53,-10.53,4.32,508.51,0,115.8,Reliable
070d165398b553f3b4b851c216b8a358,SP,31,10.53,-9.08,3.45,393.42,0,112.89,Reliable
7bac63f6603d382cc8d0832eb6c100a8,SP,19,10.53,-5.42,4.0,895.93,0,105.58,Reliable
fd386aa7bed2af3c7035c65506c9b4a3,SP,69,10.53,-9.64,4.36,490.87,0,114.02,Reliable
14d7985702e72162bbf13b6beb74ab2b,SP,37,10.53,-8.74,4.34,398.89,0,112.22,Reliable
0176f73cc1195f367f7b32db1e5b3aa8,SP,37,10.53,-8.74,4.05,404.13,0,112.22,Reliable
